make_model,batt_chem,batt_low,batt_high,consumption_low,consumption_high,seat count
Byd Motors K7,LFP,180,215,1.15,1.84,23
Byd Motors K9,LFP,324,350,1.91,2.64,38
Byd Motors K11,LFP,578,652,2.09,3.74,56
Gillig Corporation Low Floor Plus,NMC,444,444,1.68,3.04,38
New Flyer of America Xcelsior,NMC,350,525,1.98,2.77,41
Proterra Inc. Ecoride,LTO,54,72,1.31,2.23,38
Proterra Inc. Catalyst FC,LTO,79,105,1.61,1.7,40
Proterra Inc. Catalyst E2,NMC,440,660,1.53,2.28,40
Proterra Inc. Catalyst Xr,NMC,220,330,1.49,1.82,40
Proterra Inc. Zx5,NMC,492,738,1.7,2.8,40
