Total grams per lifetime per kWh,NMC811,LMO,NMC111,LFP: Hydrothermal,LFP: Solid State,NMC622,NCA,NMC532,LTO,LFP,NMC
     VOC,13.02776341,11.96709206,12.96990583,11.44692754,11.39770346,13.00246143,15.16066004,12.7927897,11.99509705,11.4223155,12.94823009
     CO,82.32309232,69.73061011,83.12032367,80.27605573,76.91084055,83.35278415,86.31105871,82.50360385,136.2427914,78.59344814,82.824951
     NOx,64.57665863,37.28277164,61.20881011,52.31116505,43.59989286,62.66559368,68.93467191,61.11241286,41.39065949,47.95552896,62.39086882
     PM10,13.08181886,14.57237935,25.5581372,9.151867757,8.728033715,18.04043291,15.57752048,18.69517351,8.251856303,8.939950736,18.84389062
     PM2.5,7.200498623,10.12027647,8.88328031,6.849962372,6.498393403,7.897360885,7.632953954,8.013741819,6.12849591,6.674177888,7.998720409
     SOx,187.3361305,51.10217303,140.1749913,69.21468905,69.38253423,172.1471605,201.5580798,159.1984458,65.74086836,69.29861164,164.714182
     BC,0.462255003,0.633762202,0.469139868,0.42842971,0.31215714,0.448457547,0.501268371,0.441652951,0.238940777,0.370293425,0.455376342
     OC,1.105233843,1.667213528,1.063697043,1.028844271,0.779799262,1.048677456,1.179078776,1.033847681,0.669475669,0.904321767,1.062864006
     CH4,234.1036754,193.4698667,238.5693316,232.9929426,220.8432755,235.5303174,246.3307189,234.6233329,478.9578088,226.9181091,235.7066643
     N2O,1.379781052,1.11789129,1.412074753,1.335140409,1.177070542,1.383700468,1.451880379,1.371072247,1.183096118,1.256105476,1.38665713
     CO2,48251.73431,33641.37124,50346.52902,42589.83059,36169.17766,49029.92347,51196.31403,48640.4674,39084.93163,39379.50413,49067.16355
"     CO2 (VOC, CO, CO2)",48421.70237,33788.24535,50517.56954,42751.65494,36325.56039,49201.43075,51379.19642,48809.98678,39336.41216,39538.60767,49237.67236
     GHGs,56050.54521,40203.94497,58311.61302,50424.6045,43593.2968,56886.66395,59396.54587,56465.73824,54416.92883,47008.95065,56928.64011
